Time,VCC1_VOLTAGE,CONTROLLER_TEMPERATURE,VCC2_CURRENT,VCC1_CURRENT,VCC2_VOLTAGE,VCC3_CURRENT,VCC3_VOLTAGE,BATTERY2_VOLTAGE,SUN_X,SUN_Z,BATTERY2_CURRENT,BATTERY1_CURRENT,BATTERY_TEMPERATURE,BATTERY1_VOLTAGE
01/14/22 09:09:27PM,0,4.56,0,0,0,0,0,4.068,0,0,0,-223,-6.43,4.194
01/14/22 09:10:27PM,0.012,3.68,0,0,0.012,0,0,4.068,0,0,0,-223,-7.5,4.176
01/14/22 09:13:27PM,0.036,2.43,0,0,0.036,0,0.024,4.068,0,0,0,-221,-8.93,4.14
01/14/22 09:55:26PM,1.884,9,21,462,2.292,0,1.944,4.14,0,0,0,135,7,0.108
01/14/22 10:42:00PM,0,5.75,0,0,0,0,0,4.068,0,0,0,-225,-5,4.194
01/14/22 10:44:00PM,0.024,4.81,0,0,0.012,0,0.036,4.068,0,0,0,-223,-6.18,4.176
01/14/22 10:47:00PM,0.012,3.06,0,0,0.012,0,0.012,4.068,0,0,0,-222,-8.37,4.14
01/14/22 11:16:00PM,1.932,6.93,385,1,1.74,0,1.812,4.14,0,0,0,143,4.56,0.072
01/14/22 11:28:00PM,2.16,7.62,303,427,2.088,0,1.896,4.212,0,0,0,555,5.18,0.306
01/15/22 12:48:00AM,2.076,1.31,86,121,2.028,0,1.68,4.104,0,0,0,63,-2.93,4.572
01/15/22 01:37:00AM,0,10.93,0,0,0.012,0,0,4.104,0,0,0,-53,8.68,4.536
01/15/22 01:38:00AM,0,10.06,0,0,0,0,0,4.104,0,0,0,-53,6.93,4.536
01/15/22 01:52:00AM,0,5.68,0,0,0,0,0,4.068,0,0,0,-223,-4.87,4.176
01/15/22 01:56:00AM,0,4.12,0,0,0.012,0,0,4.068,0,0,0,-222,-7.06,4.158
01/15/22 01:57:00AM,0,3.31,0,0,0.012,0,0.012,4.068,0,0,0,-221,-8.06,4.14
01/15/22 02:24:00AM,2.028,1.87,403,0,1.8,0,1.872,4.14,0,0,0,168,-1.81,0.108
01/15/22 02:29:00AM,2.1,-9.12,200,10,1.896,1,1.932,4.338,0,0,0,138,-5.75,0.126
01/15/22 02:32:00AM,2.172,5.12,113,145,2.064,0,1.86,4.122,0,0,0,53,3.06,4.59
01/15/22 02:33:00AM,1.884,5.93,135,15,1.8,0,1.632,4.122,0,0,0,-107,4.12,4.518
01/15/22 02:34:00AM,1.836,-4.31,155,11,1.992,1,1.584,4.536,0,0,0,-112,-1.68,4.41
01/15/22 03:21:00AM,0.012,8.81,0,0,0.024,0,0.012,4.068,0,0,0,-228,0.18,4.266
01/15/22 03:23:00AM,0,8.12,0,0,0.012,0,0,4.068,0,0,0,-227,-1.06,4.23
01/15/22 03:29:00AM,0.012,5.43,0,0,0.012,0,0.012,4.068,0,0,0,-223,-5.25,4.176
01/15/22 03:30:00AM,0.012,4.75,0,0,0.012,0,0.012,4.068,0,0,0,-222,-6.06,4.158
01/15/22 03:32:00AM,0.036,3.93,0,0,0.036,0,0.036,4.068,0,0,0,-222,-7.18,4.14
01/15/22 05:02:00AM,0.012,5.87,0,0,0.012,0,0.012,4.068,0,0,0,-223,-4.43,4.176
01/15/22 05:07:00AM,0.012,4.25,0,0,0,0,0,4.068,0,0,0,-222,-6.75,4.14
01/15/22 05:08:00AM,0.012,3.62,0,0,0.024,0,0.012,4.068,0,0,0,-221,-7.5,4.122
01/15/22 05:34:00AM,1.752,2.56,123,40,2.172,0,1.8,4.122,0,0,0,-118,-1.18,4.518
01/15/22 05:36:00AM,2.256,3.25,180,183,2.244,0,1.764,4.122,0,0,0,120,0.06,0.036
01/15/22 06:38:00AM,0,6.75,0,0,0,1,0,4.464,0,0,0,-231,-3.06,4.266
01/15/22 06:39:00AM,0,6.25,0,0,0.012,1,0.012,4.464,0,0,0,-230,-3.68,4.248
01/15/22 07:07:00AM,1.944,1.93,178,21,2.052,0,1.8,4.104,0,0,0,-28,-2.5,4.482
01/15/22 08:33:00AM,2.148,-1,168,735,2.604,0,2.064,4.194,0,0,0,657,-9.56,0.27
01/15/22 08:44:00AM,2.244,1.87,303,495,2.196,0,1.956,4.158,0,0,0,530,-2.31,0.288
01/15/22 10:07:00AM,1.656,-1.5,147,251,1.956,0,2.1,4.176,0,0,0,551,-10.56,0.18
01/15/22 10:09:00AM,2.52,-1.31,248,432,2.46,0,2.184,4.176,0,0,0,462,-9.43,0.126
01/15/22 10:12:00AM,2.172,-0.62,261,605,2.148,0,2.136,4.194,0,0,0,600,-7.12,0.27
01/15/22 10:15:00AM,1.944,0.12,131,312,2.268,0,1.848,4.122,0,0,0,-95,-5.31,4.446
01/15/22 10:17:00AM,1.764,0.87,85,20,2.052,0,1.644,4.086,0,0,0,-80,-3.87,4.464
01/15/22 10:18:00AM,1.728,-6.31,45,0,1.92,1,1.788,4.338,0,0,0,-195,-5.81,4.518
01/15/22 10:19:00AM,2.328,-5.06,97,225,2.328,1,2.088,4.59,0,0,0,82,-4.56,0.108
01/15/22 10:20:00AM,2.112,1.81,145,176,2.052,0,1.788,4.104,0,0,0,28,-2.06,4.518
01/15/22 11:01:00AM,1.74,13.12,137,0,2.256,0,1.944,4.104,0,0,0,80,12.81,0.09
01/15/22 11:06:00AM,0.108,11.87,0,0,0.228,1,0.144,4.572,0,0,0,-53,11.56,4.446
01/15/22 11:45:00AM,1.98,-1.56,192,518,2.616,0,1.404,4.158,0,0,0,643,-9.56,0.252
01/15/22 11:47:00AM,2.196,-1.18,128,796,2.616,0,2.28,4.212,0,0,0,630,-8.12,0.252
