gs_name,distance_km,elevation,time,rssi,snr,crc
DSP_TW,571,59.55,23:30:14.973,-120.75,-15.75,0
IndoorTech_Station,612,56.58,10:14:51.783,-128.25,-7.25,1
PU3XGS,544,71.96,02:47:17.050,-128.5,-11.5,0
PP5AMP,621,55.16,10:14:51.757,-133,-12,0
SIMEPAR2,757,40.90,10:14:51.760,-130.25,-13.25,0
LVS_433,1117,23.35,10:14:51.759,-136.25,-18.25,0
LW2DTZ,1128,22.99,10:14:51.765,-140,-19,0
LU9EHU_GS,1143,22.52,10:14:51.774,-143.5,-21.5,0
PU3XGS_NH_RS_BR,545,71.49,10:14:48.399,-133.5,-18.5,0
Fabinho_Tiny_GS,722,43.61,04:55:22.560,-131.25,-10.25,1
PU3XGS,670,48.75,02:46:19.326,-139.5,-21.5,0
PU3XGS_NH_RS_BR,672,48.54,10:13:50.660,-136.75,-20.75,0
IndoorTech_Station,528,78.51,10:13:54.041,-133.75,-11.75,0
PP5AMP,526,79.12,10:13:54.067,-137.75,-16.75,1
Morteritos_430,1731,10.11,10:13:54.091,-142.5,-21.5,0
Gladesville_AU_Tiny_GS_2,768,39.66,09:10:05.620,-103,0,1
Murray,1060,24.99,09:10:05.601,-132.5,-11.5,0
esculca_433,541,68.68,08:21:34.745,-126.75,-11.75,1
DL1VED_TINYGS,1885,7.57,08:21:34.727,-140.5,-21.5,0
TGS_F4ECA,1507,13.39,08:21:34.727,-142.25,-20.25,0
DJ3KS,1920,7.12,08:21:34.728,-140.25,-18.25,0
GanSla2,1568,12.30,08:21:34.730,-129,-15,0
G7JHW,1721,9.86,08:21:34.731,-133.5,-12.5,0
Not_Goonhilly,1358,16.34,08:21:34.729,-135.75,-13.75,0
EC4TR,800,36.56,08:21:34.728,-131.75,-11.75,0
Toar,541,68.70,08:21:34.723,-133.5,-18.5,0
HB9CRE_2,1789,8.88,08:21:19.184,-135.25,-15.25,0
DG1GMY,1914,7.20,08:21:34.732,-138.75,-17.75,0
EA4AXH,796,36.79,08:21:34.727,-134.25,-12.25,0
Kalvin_Leon,737,41.04,08:21:34.724,-143.75,-21.75,0
EB2GKK_433_TinyGS,926,29.76,08:21:34.727,-140,-21,0
DK2DB_2,1941,6.85,08:21:34.729,-130.5,-16.5,0
DM7RM,2025,5.83,08:21:34.734,-141.75,-20.75,0
DH0FAA_TinyGS,2141,4.49,08:21:34.735,-132.75,-15.75,0
IU8HRV,2305,2.76,08:21:34.729,-139,-21,0
GURB_Ground_Station,761,39.21,08:21:34.727,-134.5,-16.5,0
ON5CMB_433,1828,8.33,08:21:34.734,-142,-21,0
DJ2DS,2174,4.12,08:21:34.694,-106.5,-12.5,0
ac2_GS2,1974,6.45,08:21:34.738,-140.75,-21.75,0
3StepLex,524,74.55,08:21:34.690,-139.5,-17.5,0
GroundStation_RIOJA,917,30.16,08:21:34.729,-115.75,-7.75,0
F8CND_TBea_430M_1,1862,7.88,08:21:34.735,-126.25,-13.25,0
EB1AYW,706,43.72,08:21:34.725,-133,-20,0
jfg_nalon,768,38.72,08:21:34.726,-141.25,-21.25,0
AtiStation,2456,1.27,08:21:34.733,-131.5,-21.5,0
EB5ABT,1036,25.31,08:21:34.722,-136,-19,0
ES_MA29631,834,34.49,08:21:34.732,-142,-22,0
iHugoF_GS03,535,70.47,08:21:34.733,-139.5,-18.5,0
F21467,1293,17.82,08:21:34.735,-126,-21,0
Barrili2,1805,8.65,08:21:34.689,-111,-9,0
DG4SN,2009,6.02,08:21:34.738,-137.5,-17.5,0
wrkpTinyGS,1627,11.31,08:21:34.830,-135,-16,0
GM1MSS,1009,26.35,08:19:14.110,-113,-8,1
PE2BZnr2,1086,23.63,08:19:14.087,-137.75,-16.75,0
jood,1209,19.99,08:19:14.091,-139.5,-18.5,0
DB5OR,1333,16.95,08:19:14.083,-129,-18,0
PE2BZnr1,1085,23.67,08:19:14.090,-131.75,-21.75,0
M0DGZ_Shas,802,36.55,08:19:14.088,-140.25,-18.25,0
GSD433_470,687,45.60,08:19:14.087,-138.5,-21.5,0
ArnouvilleF78790,879,32.12,08:19:14.090,-133.25,-20.25,0
DL5OP,1418,15.13,08:19:14.089,-142,-20,0
G0PYB,909,30.62,08:19:14.084,-135.5,-13.5,0
CGNBA1,1230,19.44,08:19:14.093,-121.5,-21.5,0
M0XDK_A,825,35.11,08:19:14.091,-139,-21,0
TGS_F4ECA,1126,22.36,08:19:14.090,-143.5,-21.5,0
Wilton433b,726,42.05,08:19:14.089,-129,-20,0
DG0VO_401,1691,10.35,08:19:14.090,-139.5,-21.5,0
G4RHZ_3,900,31.07,08:19:14.090,-139,-20,0
DH6SC_11,1427,14.96,08:19:14.090,-141.5,-21.5,0
HB9TQJ,1296,17.79,08:19:14.089,-141.75,-21.75,0
DL1VED_TINYGS,1209,19.98,08:19:14.087,-139.5,-19.5,0
PD7HW_01,1186,20.61,08:19:14.093,-110.5,-15.5,0
IW2CLJ_TTGO_430MHz,1463,14.26,08:19:14.093,-135,-14,0
G8HAM_1,731,41.61,08:19:14.089,-136.5,-21.5,0
ON3JT_TinyGS,1078,23.90,08:19:14.092,-137.5,-18.5,0
IW1FZR,1391,15.70,08:19:14.090,-141.5,-20.5,0
M0WVE_433b_oxon,810,36.04,08:19:14.093,-143,-21,0
MTGS224,1137,22.02,08:19:14.091,-138.5,-20.5,0
G5BBL_LoRa,722,42.37,08:19:14.092,-138.25,-16.25,0
LX2MT_1,1166,21.17,08:19:12.992,-135,-18,0
Wilton433a,726,42.04,08:19:14.085,-137.75,-21.75,0
GS_Ienreuth,1561,12.46,08:19:14.089,-144.5,-21.5,0
Not_Goonhilly,566,62.59,08:19:14.092,-132.5,-11.5,0
the_hara,1236,19.28,08:19:14.084,-115.25,-20.25,0
DK6OC,1232,19.39,08:19:14.084,-139.5,-19.5,0
G4RHZ_2,900,31.06,08:19:14.090,-131.25,-10.25,0
MTGS220,1137,22.03,08:19:14.091,-137,-20,0
2E1WSR,899,31.12,08:19:14.091,-131.75,-21.75,0
DE3JGA,1295,17.83,08:19:14.099,-141.75,-20.75,0
OctoateTinyGS,1367,16.19,08:19:14.087,-142.25,-21.25,0
SM5RBJ_7,2076,5.27,08:19:14.092,-140.75,-21.75,0
efcap_curiouselectric,881,32.01,08:19:13.718,-139,-19,0
DG1GMY,1311,17.44,08:19:14.095,-136,-15,0
ON7XX,973,27.80,08:19:14.092,-136.5,-16.5,0
G8WED_Earthstation51,739,40.98,08:19:14.090,-133.5,-19.5,0
EA4AXH,1110,22.84,08:19:14.090,-143.5,-21.5,0
F8CND_TBea_430M_1,1265,18.55,08:19:14.089,-133.25,-19.25,0
M0NRD,879,32.10,08:19:14.094,-144.75,-21.75,0
HB9BLA,1303,17.64,08:19:14.344,-131.5,-21.5,0
Rockenhausen_DK5WT,1282,18.14,08:19:14.092,-137.75,-17.75,0
Heingford_01,867,32.71,08:19:14.095,-138,-15,0
S56G,1771,9.16,08:19:14.094,-139.75,-21.75,0
DM7RM,1385,15.82,08:19:14.093,-142,-21,0
DE5RBVgs_4,1569,12.33,08:19:14.088,-140.5,-21.5,0
GroundStation_RIOJA,971,27.85,08:19:14.090,-124.25,-15.25,0
F21467,1072,24.10,08:19:14.092,-125.25,-19.25,0
M0TLJ_2,922,30.02,08:19:14.091,-142,-21,0
DK2DB_2,1329,17.03,08:19:14.090,-129.5,-15.5,0
WISeKey,1223,19.63,08:19:14.092,-134,-21,0
Black_GS1,1230,19.44,08:19:14.089,-144.75,-20.75,0
ON4API,988,27.19,08:19:14.091,-137.75,-18.75,0
HA1GBR,2002,6.14,08:19:14.094,-142.5,-21.5,0
TQM_433,845,33.93,08:19:14.093,-138.75,-19.75,0
GM8lkl_433d,1030,25.57,08:19:14.090,-137.25,-18.25,0
DJ2DS,1342,16.74,08:19:14.055,-105.5,-12.5,0
ON5BI,1102,23.11,08:19:14.103,-139.25,-20.25,0
SA6NTM,1840,8.20,08:19:14.092,-141.5,-21.5,0
ON1RC_SAT,1032,25.51,08:19:14.092,-140.5,-19.5,0
GM4EAU_433_b,1026,25.70,08:19:14.090,-135.25,-20.25,0
onl6739,1097,23.27,08:19:14.091,-140.25,-20.25,0
SM5RBJ_400MHZ,2076,5.26,08:19:14.094,-142.5,-21.5,0
TinyGS433dipole,1458,14.34,08:19:14.008,-142.75,-21.75,0
Letterfrack_Weather,781,37.90,08:19:14.086,-142.5,-21.5,0
G8FTX_Dipole,898,31.16,08:19:14.079,-137.25,-17.25,0
DEBWEP,1338,16.83,08:19:14.093,-136,-21,0
EI5IPB_TGS1,746,40.46,08:19:11.531,-136,-14,0
2E0TXE,831,34.72,08:19:14.096,-135.5,-12.5,0
IV3IHD_E32,1718,9.94,08:19:14.060,-121.5,-17.5,0
DE_72116_433,1377,15.99,08:19:14.097,-139,-17,0
DH0RN_de_jena,1544,12.76,08:19:14.118,-140,-21,0
AtiStation,1950,6.78,08:19:14.095,-129.5,-19.5,0
M0GLU_433_ant_test,806,36.28,08:19:14.115,-131.25,-13.25,1
M0GLU,806,36.28,08:19:14.099,-118.25,-13.25,1
F5VMH,856,33.30,08:19:14.116,-138,-20,0
G8FTX_E22_400_Solar,898,31.16,08:19:14.099,-114,-20.5,0
F4GMT_TinyGS,932,29.55,08:19:14.108,-138.75,-21.75,0
JulseyGS,1051,24.83,08:19:14.099,-139.5,-21.5,0
SM5YZB_dev,2134,4.61,08:19:14.039,-140.25,-21.25,0
IW2LSI_LILYGO433,1500,13.55,08:19:14.069,-143.5,-21.5,0
DG4SN,1390,15.71,08:19:14.122,-139,-18,0
